game_pk,date,home,away,home_score,away_score,home_sp,away_sp,status
778563,20250318,CHN,LAN,1,4,684007,808967,F
778564,20250319,CHN,LAN,3,6,657006,808963,F
778557,20250327,NYA,MIL,4,2,607074,642547,F
778556,20250327,TOR,BAL,2,12,621244,621107,F
778553,20250327,TEX,BOS,2,5,543135,676979,F
778555,20250327,WAS,PHI,3,7,669022,554430,F
778558,20250327,KCA,CLE,4,7,666142,594902,F
778559,20250327,HOU,NYN,3,1,664285,605280,F
778561,20250327,CIN,SFN,4,6,668881,657277,F
778545,20250327,SDN,ATL,7,4,650633,519242,F
778554,20250327,CHA,ANA,8,1,680732,579328,F
778562,20250327,MIA,PIT,5,4,645261,694973,F
778551,20250327,SLN,MIN,5,3,543243,641154,F
778546,20250327,LAN,DET,5,4,605483,669373,F
778552,20250327,ARI,CHN,6,10,668678,657006,F
778547,20250327,SEA,ATH,4,2,669302,622663,F
778560,20250328,TBA,COL,3,2,686752,607536,F
778549,20250328,TOR,BAL,8,2,592332,450203,F
778548,20250328,MIA,PIT,3,4,687362,656605,F
778550,20250328,TEX,BOS,4,1,683004,656557,F
778518,20250328,HOU,NYN,1,3,686613,656731,F
778543,20250328,ARI,CHN,8,1,518876,592791,F
778541,20250328,SEA,ATH,0,7,622491,605488,F
778542,20250328,SDN,ATL,4,3,656302,625643,F
778544,20250328,LAN,DET,8,5,808967,656427,F
778538,20250329,NYA,MIL,20,9,608331,641482,F
778534,20250329,CHA,ANA,0,1,686563,667755,F
778528,20250329,SLN,MIN,5,1,607200,657746,F
778536,20250329,TOR,BAL,5,9,453286,665152,F
778535,20250329,WAS,PHI,6,11,663623,666200,F
778529,20250329,KCA,CLE,4,3,607625,668909,F
778540,20250329,CIN,SFN,3,2,666157,434378,F
778537,20250329,TBA,COL,1,2,641793,622608,F
778539,20250329,MIA,PIT,5,4,678368,663559,F
778531,20250329,TEX,BOS,4,3,641816,621111,F
778530,20250329,HOU,NYN,2,1,681293,656288,F
778520,20250329,SDN,ATL,1,0,681190,680885,F
778532,20250329,ARI,CHN,3,4,694297,684007,F
778533,20250329,LAN,DET,7,3,808963,681857,F
778521,20250329,SEA,ATH,2,4,682243,674370,F
778526,20250330,WAS,PHI,5,1,680730,605400,F
778523,20250330,NYA,MIL,12,3,573186,650644,F
778525,20250330,TOR,BAL,3,1,605135,608372,F
778522,20250330,CIN,SFN,3,6,607259,592662,F
778524,20250330,TBA,COL,6,4,671737,663372,F
778519,20250330,MIA,PIT,3,2,676974,571760,F
778510,20250330,KCA,CLE,2,6,608379,676440,F
778527,20250330,CHA,ANA,2,3,663436,686799,F
778517,20250330,SLN,MIN,9,2,669467,641927,F
778516,20250330,TEX,BOS,3,2,594798,690916,F
778515,20250330,ARI,CHN,10,6,593958,571510,F
778513,20250330,SEA,ATH,2,1,693433,676664,F
778514,20250330,SDN,ATL,5,0,601713,700363,F
778506,20250331,CHA,MIN,9,0,527048,663978,F
778504,20250331,MIL,KCA,1,11,660730,663460,F
778512,20250331,BAL,BOS,8,5,700249,656794,F
778502,20250331,PHI,COL,6,1,650911,608566,F
778511,20250331,CIN,TEX,14,3,663903,677958,F
778509,20250331,MIA,NYN,4,10,615698,656849,F
778508,20250331,TBA,PIT,6,1,656876,669387,F
778507,20250331,TOR,WAS,5,2,670102,647336,F
778503,20250331,SLN,ANA,4,5,571945,542881,F
778505,20250331,HOU,SFN,2,7,669854,663855,F
778499,20250331,SDN,CLE,7,2,606996,682847,F
778496,20250331,SEA,DET,6,9,676106,695549,F
778501,20250331,ATH,CHN,3,18,683155,676962,F
778500,20250331,LAN,ATL,6,1,607192,656550,F
778498,20250401,CIN,TEX,0,1,686730,543135,F
778497,20250401,MIA,NYN,4,2,645261,673540,F
778493,20250401,TBA,PIT,7,0,669358,802419,F
778492,20250401,NYA,ARI,5,7,701542,669203,F
778491,20250401,TOR,WAS,5,3,621244,592866,F
778490,20250401,CHA,MIN,3,8,681343,680573,F
778488,20250401,MIL,KCA,5,0,694477,547179,F
778495,20250401,SLN,ANA,7,9,669461,543294,F
778489,20250401,HOU,SFN,1,3,669713,657277,F
778485,20250401,SDN,CLE,7,0,650633,671106,F
778486,20250401,SEA,DET,1,4,669302,663554,F
778494,20250401,ATH,CHN,4,7,622663,657006,F
778487,20250401,LAN,ATL,3,1,669160,519242,F
778480,20250402,CIN,TEX,0,1,668881,683004,F
778479,20250402,TBA,PIT,2,4,686752,694973,F
778477,20250402,MIL,KCA,3,2,642547,666142,F
778473,20250402,SLN,ANA,12,5,543243,579328,F
778474,20250402,CHA,MIN,1,6,680732,641154,F
778478,20250402,TOR,WAS,4,2,687922,669022,F
778471,20250402,ATH,CHN,2,10,605488,592791,F
778476,20250402,SDN,CLE,5,2,656302,594902,F
778469,20250402,SEA,DET,3,2,622491,669373,F
778475,20250402,HOU,SFN,3,6,664285,694738,F
778481,20250402,MIA,NYN,5,6,687362,605280,F
778483,20250402,BAL,BOS,0,3,621107,676979,F
778482,20250402,PHI,COL,5,1,554430,607536,F
778484,20250402,NYA,ARI,3,4,607074,668678,F
778472,20250402,LAN,ATL,6,5,605483,693821,F
778470,20250403,BAL,BOS,4,8,450203,656557,F
778467,20250403,PHI,COL,3,1,592836,622608,F
778462,20250403,MIN,HOU,2,5,657746,686613,F
778466,20250403,NYA,ARI,9,7,471911,518876,F
778468,20250403,MIL,CIN,1,0,641482,666157,F
778458,20250404,DET,CHA,7,4,656427,686563,F
778463,20250404,BOS,SLN,13,9,621111,607200,F
778460,20250404,CHN,SDN,3,1,684007,681190,F
778465,20250404,NYN,TOR,5,0,656731,592332,F
778456,20250404,COL,ATH,3,6,663372,674370,F
778461,20250404,PIT,NYA,4,9,656605,608331,F
778444,20250404,SFN,SEA,10,9,434378,622379,F
778457,20250404,WAS,ARI,4,6,663623,694297,F
778459,20250404,PHI,LAN,3,2,666200,808967,F
778464,20250404,ATL,MIA,10,0,680885,676974,F
778455,20250404,KCA,BAL,8,2,607625,665152,F
778454,20250404,TEX,TBA,5,2,641816,641793,F
778453,20250404,MIL,CIN,3,2,641302,607259,F
778447,20250404,ANA,CLE,6,8,667755,668909,F
778445,20250405,DET,CHA,7,2,681857,663436,F
778440,20250405,MIN,HOU,6,1,641927,681293,F
778450,20250405,CHN,SDN,7,1,571510,601713,F
778452,20250405,WAS,ARI,4,3,680730,593958,F
778448,20250405,PHI,LAN,1,3,605400,808963,F
778449,20250405,PIT,NYA,4,10,663559,573186,F
778441,20250405,KCA,BAL,1,8,608379,608372,F
778438,20250405,TEX,TBA,6,4,594798,671737,F
778446,20250405,NYN,TOR,3,2,656288,605135,F
778439,20250405,MIL,CIN,7,11,660730,663903,F
778451,20250405,ATL,MIA,0,4,700363,615698,F
778442,20250405,COL,ATH,4,7,608566,676664,F
778436,20250405,SFN,SEA,4,1,592662,682243,F
778437,20250405,ANA,CLE,10,4,686799,676440,F
778443,20250406,BOS,SLN,,,656794,669467,F
778429,20250406,WAS,ARI,5,4,592866,669203,F
778443,20250406,BOS,SLN,5,4,656794,669467,F
778432,20250406,BOS,SLN,18,7,690928,571945,F
778434,20250406,PHI,LAN,8,7,650911,607192,F
778428,20250406,PIT,NYA,5,4,571760,701542,F
778435,20250406,NYN,TOR,2,1,656849,670102,F
778433,20250406,DET,CHA,4,3,695549,527048,F
778422,20250406,KCA,BAL,4,1,663460,700249,F
778419,20250406,MIN,HOU,7,9,663978,669854,F
778421,20250406,MIL,CIN,8,2,694477,686730,F
778430,20250406,CHN,SDN,7,8,676962,606996,F
778420,20250406,TEX,TBA,4,3,677958,656876,F
778423,20250406,COL,ATH,12,5,801403,683155,F
778427,20250406,SFN,SEA,5,4,663855,693433,F
778425,20250406,ANA,CLE,6,2,542881,682847,F
778431,20250809,ATL,MIA,,,694462,687473,F
778424,20250407,DET,NYA,6,2,663554,607074,F
778415,20250407,PIT,SLN,8,4,669387,669461,F
778418,20250407,WAS,LAN,6,4,669022,669160,F
778426,20250407,BOS,TOR,2,6,690916,621244,F
778416,20250407,NYN,MIA,2,0,673540,678368,F
778411,20250407,CHN,TEX,7,0,657006,543135,F
778412,20250407,KCA,MIN,4,2,547179,680573,F
778413,20250407,ARI,BAL,1,5,668678,621107,F
778405,20250407,SEA,HOU,4,3,669302,669713,F
778410,20250407,SFN,CIN,0,2,657277,668881,F
778414,20250407,ATH,SDN,4,5,622663,650633,F
778403,20250408,DET,NYA,5,0,669373,471911,F
778402,20250408,CLE,CHA,1,0,594902,681343,F
778407,20250408,NYN,MIA,10,5,605280,687362,F
778408,20250408,PIT,SLN,3,5,694973,543243,F
778409,20250408,WAS,LAN,8,2,695418,680736,F
778404,20250408,BOS,TOR,1,6,676979,687922,F
778417,20250408,TBA,ANA,3,4,669358,543294,F
778406,20250408,ATL,PHI,7,5,519242,554430,F
778401,20250408,CHN,TEX,10,6,592791,571578,F
778400,20250408,KCA,MIN,2,1,666142,641154,F
778394,20250408,COL,MIL,1,7,607536,642547,F
778396,20250408,ARI,BAL,4,3,518876,450203,F
778398,20250408,SEA,HOU,1,2,622491,664285,F
778397,20250408,SFN,CIN,0,1,694738,666157,F
778395,20250408,ATH,SDN,10,4,605488,656302,F
778389,20250409,PIT,SLN,2,1,656605,607200,F
778390,20250409,NYN,MIA,0,5,656731,676974,F
778387,20250409,DET,NYA,3,4,656427,608331,F
778385,20250409,CHN,TEX,2,6,684007,641816,F
778381,20250409,ATH,SDN,1,2,674370,681190,F
778380,20250409,ARI,BAL,9,0,694297,665152,F
778376,20250409,SFN,CIN,8,6,434378,607259,F
