game_pk,date,home,away,home_score,away_score,home_sp,away_sp,status
745444,20240320,SDN,LAN,2,5,506433,607192,F
746175,20240321,LAN,SDN,11,15,808967,605397,F
747060,20240328,BAL,ANA,11,3,669203,663776,F
746737,20240328,CIN,WAS,8,2,593423,680686,F
745445,20240328,SDN,SFN,6,4,506433,657277,F
746165,20240328,LAN,SLN,7,1,607192,571945,F
745116,20240328,TBA,TOR,2,8,621107,621244,F
746335,20240328,KCA,MIN,1,4,666142,641154,F
746821,20240328,CHA,DET,0,1,676979,669373,F
746089,20240328,MIA,PIT,5,6,666200,656605,F
746418,20240328,HOU,NYA,4,5,664285,641482,F
745039,20240328,TEX,CHN,4,3,543135,657006,F
745687,20240328,ATH,CLE,0,8,622072,669456,F
747224,20240328,ARI,COL,16,1,668678,607536,F
745283,20240328,SEA,BOS,4,6,622491,678394,F
745848,20240329,NYN,MIL,,,500779,642547,F
745604,20240329,PHI,ATL,,,554430,675911,F
745848,20240329,NYN,MIL,1,3,500779,642547,F
745604,20240329,PHI,ATL,3,9,554430,675911,F
745117,20240329,TBA,TOR,8,2,650644,605135,F
746091,20240329,MIA,PIT,2,7,640462,527048,F
746412,20240329,HOU,NYA,1,7,664299,607074,F
747223,20240329,ARI,COL,7,3,518876,615698,F
745682,20240329,ATH,CLE,4,6,548389,671106,F
745276,20240329,SEA,BOS,1,0,669923,601713,F
745435,20240329,SDN,SFN,3,8,605397,690986,F
746167,20240329,LAN,SLN,6,3,676272,668868,F
745850,20240330,NYN,MIL,6,7,622663,669084,F
746818,20240330,CHA,DET,6,7,647336,628317,F
747063,20240330,BAL,ANA,13,4,680570,656288,F
745599,20240330,PHI,ATL,4,12,605400,608331,F
745684,20240330,ATH,CLE,3,12,676664,676440,F
746736,20240330,CIN,WAS,6,7,668881,571578,F
745119,20240330,TBA,TOR,5,1,641793,579328,F
746333,20240330,KCA,MIN,1,5,607625,657746,F
746087,20240330,MIA,PIT,3,9,677960,683003,F
745037,20240330,TEX,CHN,11,2,674003,543294,F
745436,20240330,SDN,SFN,6,9,656302,663855,F
746410,20240330,HOU,NYA,3,5,686613,573186,F
747221,20240330,ARI,COL,4,9,674072,596295,F
746168,20240330,LAN,SLN,5,6,808967,458681,F
745278,20240330,SEA,BOS,4,3,669302,676710,F
747062,20240331,BAL,ANA,1,4,669330,672282,F
745602,20240331,PHI,ATL,5,4,624133,519242,F
746739,20240331,CIN,WAS,6,5,607259,663623,F
745115,20240331,TBA,TOR,2,9,542888,592332,F
746090,20240331,MIA,PIT,7,9,669432,663559,F
745845,20240331,NYN,MIL,1,4,656731,607067,F
746332,20240331,KCA,MIN,11,0,663903,641927,F
746815,20240331,CHA,DET,2,3,607200,656427,F
746413,20240331,HOU,NYA,3,4,641585,657376,F
745035,20240331,TEX,CHN,5,9,592351,696136,F
745683,20240331,ATH,CLE,4,3,621112,471911,F
747222,20240331,ARI,COL,5,1,694297,663372,F
745279,20240331,SEA,BOS,1,5,682243,676477,F
745438,20240331,SDN,SFN,13,4,650633,641726,F
746166,20240331,LAN,SLN,5,4,694813,571927,F
746817,20240401,CHA,ATL,0,9,623167,450203,F
746899,20240401,CHN,COL,5,0,684007,641712,F
744875,20240401,WAS,PIT,4,8,669022,594835,F
747058,20240401,BAL,KCA,6,4,665152,608379,F
745600,20240401,PHI,CIN,3,6,650911,671096,F
746085,20240401,MIA,ANA,4,7,676974,681217,F
745109,20240401,TBA,TEX,3,9,686752,641540,F
745842,20240401,NYN,DET,0,5,640455,681857,F
746409,20240401,HOU,TOR,10,0,669854,670102,F
745675,20240401,ATH,BOS,0,9,671212,656557,F
745277,20240401,SEA,CLE,5,4,676106,663474,F
745437,20240401,SDN,SLN,2,6,663362,502043,F
747218,20240401,ARI,NYA,2,5,669194,661563,F
746170,20240401,LAN,SFN,8,3,572020,676775,F
746009,20240402,MIL,MIN,3,2,596001,686973,F
747057,20240402,BAL,KCA,1,4,608344,679525,F
745598,20240402,PHI,CIN,9,4,605513,668933,F
746086,20240402,MIA,ANA,1,3,666200,542881,F
745111,20240402,TBA,TEX,5,2,621107,571760,F
746898,20240402,CHN,COL,12,2,665871,607536,F
746814,20240402,CHA,ATL,3,2,676979,625643,F
746411,20240402,HOU,TOR,1,2,664285,621244,F
745680,20240402,ATH,BOS,4,5,622072,678394,F
745273,20240402,SEA,CLE,2,5,622491,669456,F
745439,20240402,SDN,SLN,2,5,506433,571945,F
747220,20240402,ARI,NYA,7,0,668678,641482,F
746169,20240402,LAN,SFN,5,4,518489,657277,F
745844,20240404,NYN,DET,,,605288,663554,F
747059,20240403,BAL,KCA,4,3,669203,666142,F
745114,20240403,TBA,TEX,1,4,650644,543135,F
746083,20240403,MIA,ANA,2,10,640462,663776,F
746008,20240403,MIL,MIN,3,7,605452,663978,F
745678,20240403,ATH,BOS,0,1,548389,601713,F
747219,20240403,ARI,NYA,5,6,518876,607074,F
745603,20240403,PHI,CIN,1,4,554430,593423,F
745275,20240403,SEA,CLE,0,8,669923,671106,F
745440,20240403,SDN,SLN,3,2,605397,668868,F
744869,20240403,WAS,PIT,5,3,592866,656605,F
746900,20240403,CHN,COL,9,8,681432,615698,F
746407,20240403,HOU,TOR,8,0,664299,605135,F
746163,20240403,LAN,SFN,5,4,607192,690986,F
746816,20240627,CHA,ATL,,,641771,519242,F
745843,20240404,NYN,DET,,,676130,666159,F
745844,20240404,NYN,DET,3,6,605288,663554,F
745843,20240404,NYN,DET,2,1,676130,666159,F
744870,20240404,WAS,PIT,4,7,680686,527048,F
745928,20240404,MIN,CLE,2,4,641154,676440,F
745200,20240404,SLN,MIA,8,5,458681,677960,F
746327,20240404,KCA,CHA,10,1,607625,647336,F
745764,20240405,NYA,TOR,0,3,573186,579328,F
746497,20240405,DET,ATH,5,4,669373,676664,F
746897,20240405,CHN,LAN,9,7,543294,676272,F
746576,20240405,COL,TBA,10,7,596295,641793,F
745524,20240405,PIT,BAL,2,5,683003,680570,F
745361,20240405,SFN,SDN,3,2,663855,656302,F
746733,20240405,CIN,NYN,2,3,668881,500779,F
744874,20240405,WAS,PHI,0,4,571578,605400,F
747143,20240405,ATL,ARI,6,5,675911,674072,F
746328,20240405,KCA,CHA,2,1,663903,607200,F
745033,20240405,TEX,HOU,10,2,674003,686613,F
746007,20240405,MIL,SEA,6,5,642547,669302,F
746249,20240405,ANA,BOS,6,8,656288,676710,F
746498,20240406,DET,ATH,0,4,628317,621112,F
745926,20240406,MIN,CLE,1,3,657746,471911,F
745197,20240406,SLN,MIA,3,1,571927,669432,F
746896,20240406,CHN,LAN,1,4,696136,808967,F
745522,20240406,PIT,BAL,5,4,663559,669330,F
744873,20240406,WAS,PHI,2,5,663623,624133,F
