date,ticker,event,yes_team,winner,close_bid,close_ask,close_mid,volume,open_interest,result,settled_ts
2026-04-07,KXMLBGAME-26APR071840CINMIA-MIA,KXMLBGAME-26APR071840CINMIA,Miami,Cincinnati,57,58,0.575,27304.00,121713.00,no,1775600420
2026-04-07,KXMLBGAME-26APR071840SDPIT-SD,KXMLBGAME-26APR071840SDPIT,San Diego,Pittsburgh,42,43,0.425,6880.00,70357.00,no,1775598710
2026-04-07,KXMLBGAME-26APR071845STLWSH-WSH,KXMLBGAME-26APR071845STLWSH,Washington,St. Louis,51,52,0.515,7119.00,29217.00,no,1775601898
2026-04-07,KXMLBGAME-26APR071810KCCLE-KC,KXMLBGAME-26APR071810KCCLE,Kansas City,Cleveland,47,48,0.475,52241.00,129212.00,no,1775579478
2026-04-07,KXMLBGAME-26APR062145PHISF-SF,KXMLBGAME-26APR062145PHISF,San Francisco,Philadelphia,48,49,0.485,11154.00,28727.00,no,1775524201
2026-04-07,KXMLBGAME-26APR062138ATLLAA-LAA,KXMLBGAME-26APR062138ATLLAA,Los Angeles A,Los Angeles A,38,39,0.385,4006.00,49359.00,yes,1775521826
2026-04-07,KXMLBGAME-26APR062040HOUCOL-HOU,KXMLBGAME-26APR062040HOUCOL,Houston,Colorado,58,59,0.585,16406.00,83015.00,no,1775520017
2026-04-08,KXMLBGAME-26APR081940DETMIN-MIN,KXMLBGAME-26APR081940DETMIN,Minnesota,Minnesota,41,42,0.415,72954.00,84501.00,yes,1775690084
2026-04-08,KXMLBGAME-26APR081905ATHNYY-NYY,KXMLBGAME-26APR081905ATHNYY,New York Y,A's,64,65,0.645,82572.00,214670.00,no,1775687426
2026-04-08,KXMLBGAME-26APR081910AZNYM-NYM,KXMLBGAME-26APR081910AZNYM,New York M,Arizona,55,56,0.555,7531.00,51736.00,no,1775676656
2026-04-08,KXMLBGAME-26APR081840CINMIA-MIA,KXMLBGAME-26APR081840CINMIA,Miami,Miami,54,55,0.545,33805.00,94748.00,yes,1775686217
2026-04-08,KXMLBGAME-26APR081840CHCTB-TB,KXMLBGAME-26APR081840CHCTB,Tampa Bay,Chicago C,51,52,0.515,8986.00,36329.00,no,1775684690
2026-04-08,KXMLBGAME-26APR081607ATLLAA-LAA,KXMLBGAME-26APR081607ATLLAA,Los Angeles A,Atlanta,46,47,0.465,6033.00,34510.00,no,1775676658
2026-04-08,KXMLBGAME-26APR081605STLWSH-WSH,KXMLBGAME-26APR081605STLWSH,Washington,St. Louis,47,48,0.475,2556.00,10088.00,no,1775676283
2026-04-08,KXMLBGAME-26APR081545PHISF-SF,KXMLBGAME-26APR081545PHISF,San Francisco,San Francisco,44,45,0.445,5273.00,25345.00,yes,1775674262
2026-04-08,KXMLBGAME-26APR081510HOUCOL-HOU,KXMLBGAME-26APR081510HOUCOL,Houston,Colorado,56,57,0.565,15945.00,90290.00,no,1775673923
2026-04-08,KXMLBGAME-26APR081507LADTOR-TOR,KXMLBGAME-26APR081507LADTOR,Toronto,Toronto,41,42,0.415,25588.00,151697.00,yes,1775673318
2026-04-08,KXMLBGAME-26APR081435SEATEX-TEX,KXMLBGAME-26APR081435SEATEX,Texas,Texas,45,46,0.455,7277.00,46701.00,yes,1775669105
2026-04-08,KXMLBGAME-26APR081410BALCWS-CWS,KXMLBGAME-26APR081410BALCWS,Chicago WS,Baltimore,42,43,0.425,4936.00,32396.00,no,1775670641
2026-04-08,KXMLBGAME-26APR081335MILBOS-MIL,KXMLBGAME-26APR081335MILBOS,Milwaukee,Boston,44,45,0.445,28254.00,121331.00,no,1775667044
2026-04-08,KXMLBGAME-26APR081310KCCLE-KC,KXMLBGAME-26APR081310KCCLE,Kansas City,Cleveland,54,55,0.545,27019.00,103857.00,no,1775666117
2026-04-08,KXMLBGAME-26APR081235SDPIT-SD,KXMLBGAME-26APR081235SDPIT,San Diego,San Diego,51,52,0.515,111629.00,543028.00,yes,1775664052
2026-04-08,KXMLBGAME-26APR072145PHISF-SF,KXMLBGAME-26APR072145PHISF,San Francisco,San Francisco,41,42,0.415,10237.00,41143.00,yes,1775610281
2026-04-08,KXMLBGAME-26APR072138ATLLAA-LAA,KXMLBGAME-26APR072138ATLLAA,Los Angeles A,Atlanta,45,46,0.455,9566.00,40799.00,no,1775612080
2026-04-09,KXMLBGAME-26APR091940CWSKC-KC,KXMLBGAME-26APR091940CWSKC,Kansas City,Chicago WS,62,63,0.625,44696.00,210783.00,no,1775775000
2026-04-09,KXMLBGAME-26APR091910AZNYM-NYM,KXMLBGAME-26APR091910AZNYM,New York M,Arizona,62,63,0.625,119807.00,293071.00,no,1775773827
2026-04-09,KXMLBGAME-26APR091335ATHNYY-NYY,KXMLBGAME-26APR091335ATHNYY,New York Y,A's,64,65,0.645,58076.00,326337.00,no,1775752483
2026-04-09,KXMLBGAME-26APR091340DETMIN-MIN,KXMLBGAME-26APR091340DETMIN,Minnesota,Minnesota,45,46,0.455,19697.00,89647.00,yes,1775754287
2026-04-09,KXMLBGAME-26APR091210CINMIA-MIA,KXMLBGAME-26APR091210CINMIA,Miami,Miami,52,53,0.525,51858.00,137041.00,yes,1775750086
