game_pk,date,team,pitcher_id,pitcher_name,is_starter,outs,k,bb,hbp,hr,r,er
745444,20240320,SDN,506433,Yu Darvish,1,11,3,3,0,0,1,0
745444,20240320,SDN,676680,Tom Cosgrove,0,2,0,0,1,0,0,0
745444,20240320,SDN,660853,Enyel De Los Santos,0,3,1,0,0,0,0,0
745444,20240320,SDN,673513,Yuki Matsui,0,2,1,1,0,0,0,0
745444,20240320,SDN,593974,Wandy Peralta,0,3,1,2,0,0,1,1
745444,20240320,SDN,666745,Jhony Brito,0,1,0,1,0,0,2,2
745444,20240320,SDN,670970,Adrian Morejon,0,2,0,0,0,0,1,0
745444,20240320,SDN,669093,Jeremiah Estrada,0,3,1,2,0,0,0,0
745444,20240320,LAN,607192,Tyler Glasnow,1,15,3,4,0,0,2,2
745444,20240320,LAN,518489,Ryan Brasier,0,3,1,0,0,0,0,0
745444,20240320,LAN,543339,Daniel Hudson,0,3,1,0,0,0,0,0
745444,20240320,LAN,523260,Joe Kelly,0,3,0,0,0,0,0,0
745444,20240320,LAN,623465,Evan Phillips,0,3,1,0,0,0,0,0
746175,20240321,LAN,808967,Yoshinobu Yamamoto,1,3,2,1,1,0,5,5
746175,20240321,LAN,675627,Michael Grove,0,6,2,0,1,0,4,4
746175,20240321,LAN,669165,Kyle Hurt,0,6,0,1,0,0,1,1
746175,20240321,LAN,681911,Alex Vesia,0,3,2,1,0,0,1,1
746175,20240321,LAN,642232,Ryan Yarbrough,0,5,1,2,0,0,1,0
746175,20240321,LAN,656420,J.P. Feyereisen,0,3,1,1,0,1,3,3
746175,20240321,LAN,681402,Gus Varland,0,1,0,0,0,0,0,0
746175,20240321,SDN,605397,Joe Musgrove,1,8,2,2,0,0,5,5
746175,20240321,SDN,676680,Tom Cosgrove,0,1,0,0,0,0,1,1
746175,20240321,SDN,650633,Michael King,0,10,5,3,0,1,3,3
746175,20240321,SDN,673513,Yuki Matsui,0,2,0,0,0,0,0,0
746175,20240321,SDN,663568,Stephen Kolek,0,2,0,1,1,0,2,2
746175,20240321,SDN,663158,Robert Suarez,0,4,2,0,0,0,0,0
747060,20240328,BAL,669203,Corbin Burnes,1,18,11,0,0,1,1,1
