game_pk,date,team,pitcher_id,pitcher_name,is_starter,outs,k,bb,hbp,hr,r,er
747060,20240328,BAL,657508,Mike Baumann,0,3,0,1,0,0,0,0
747060,20240328,BAL,622253,Dillon Tate,0,3,1,2,0,0,2,1
747060,20240328,BAL,669211,Keegan Akin,0,3,2,0,0,0,0,0
747060,20240328,ANA,663776,Patrick Sandoval,1,5,2,2,0,0,5,3
747060,20240328,ANA,660761,José Suarez,0,11,2,1,0,1,3,3
747060,20240328,ANA,542585,José Cisnero,0,2,0,2,0,1,3,3
747060,20240328,ANA,670871,Guillo Zuñiga,0,3,1,1,0,0,0,0
747060,20240328,ANA,643256,Adam Cimber,0,3,0,0,0,0,0,0
746737,20240328,CIN,593423,Frankie Montas,1,18,4,0,0,0,0,0
746737,20240328,CIN,641941,Emilio Pagán,0,3,1,0,0,1,2,2
746737,20240328,CIN,608718,Brent Suter,0,6,4,0,0,0,0,0
746737,20240328,WAS,680686,Josiah Gray,1,12,6,2,0,2,7,7
746737,20240328,WAS,676395,Robert Garcia,0,3,2,0,0,0,0,0
746737,20240328,WAS,571670,Dylan Floro,0,3,1,0,0,0,0,0
746737,20240328,WAS,598264,Matt Barnes,0,3,0,0,0,0,0,0
746737,20240328,WAS,663432,Tanner Rainey,0,3,0,0,1,0,1,1
745445,20240328,SDN,506433,Yu Darvish,1,15,7,1,0,0,1,1
745445,20240328,SDN,676680,Tom Cosgrove,0,3,2,0,0,0,0,0
745445,20240328,SDN,666745,Jhony Brito,0,1,0,0,0,0,2,2
745445,20240328,SDN,673513,Yuki Matsui,0,5,0,0,0,0,0,0
745445,20240328,SDN,663158,Robert Suarez,0,3,1,0,0,1,1,1
745445,20240328,SFN,657277,Logan Webb,1,18,5,2,0,0,2,2
745445,20240328,SFN,592426,Luke Jackson,0,0,0,1,0,0,3,3
745445,20240328,SFN,676254,Ryan Walker,0,3,1,0,0,0,1,1
745445,20240328,SFN,669062,Erik Miller,0,3,1,0,0,0,0,0
746165,20240328,LAN,607192,Tyler Glasnow,1,18,5,1,0,1,1,1
746165,20240328,LAN,642232,Ryan Yarbrough,0,9,1,0,0,0,0,0
746165,20240328,SLN,571945,Miles Mikolas,1,13,5,2,0,2,5,5
746165,20240328,SLN,669467,Andre Pallante,0,5,2,0,0,0,1,1
746165,20240328,SLN,676617,Riley O'Brien,0,3,2,2,0,0,1,1
746165,20240328,SLN,669461,Matthew Liberatore,0,3,1,0,0,0,0,0
745116,20240328,TBA,621107,Zach Eflin,1,17,5,1,1,3,6,6
745116,20240328,TBA,542888,Shawn Armstrong,0,4,2,2,0,0,2,2
745116,20240328,TBA,664076,Garrett Cleavinger,0,3,0,3,0,0,0,0
745116,20240328,TBA,664208,Phil Maton,0,3,0,1,0,0,0,0
745116,20240328,TOR,621244,José Berríos,1,18,6,1,0,1,2,2
745116,20240328,TOR,670950,Trevor Richards,0,3,1,1,0,0,0,0
745116,20240328,TOR,663878,Nate Pearson,0,3,2,0,0,0,0,0
745116,20240328,TOR,641835,Tim Mayza,0,3,2,0,0,0,0,0
746335,20240328,KCA,666142,Cole Ragans,1,18,9,3,0,1,2,2
746335,20240328,KCA,623433,Nick Anderson,0,3,0,0,0,0,0,0
746335,20240328,KCA,672582,Angel Zerpa,0,3,2,0,0,0,0,0
746335,20240328,KCA,608717,Chris Stratton,0,3,1,2,0,0,2,2
746335,20240328,MIN,641154,Pablo López,1,21,7,0,0,1,1,1
746335,20240328,MIN,592779,Brock Stewart,0,3,0,0,0,0,0,0
746335,20240328,MIN,643377,Griffin Jax,0,3,1,1,0,0,0,0
746821,20240328,CHA,676979,Garrett Crochet,1,18,8,0,0,0,1,1
746821,20240328,CHA,665620,Deivi García,0,3,2,0,0,0,0,0
746821,20240328,CHA,656629,Michael Kopech,0,3,1,1,1,0,0,0
746821,20240328,CHA,608678,Dominic Leone,0,3,0,0,0,0,0,0
746821,20240328,DET,669373,Tarik Skubal,1,18,6,0,0,0,0,0
746821,20240328,DET,571946,Shelby Miller,0,3,1,0,0,0,0,0
746821,20240328,DET,605177,Andrew Chafin,0,4,2,0,0,0,0,0
746821,20240328,DET,671345,Jason Foley,0,2,2,0,0,0,0,0
746089,20240328,MIA,666200,Jesús Luzardo,1,15,8,2,0,1,2,2
746089,20240328,MIA,666277,George Soriano,0,1,1,1,0,0,0,0
746089,20240328,MIA,677053,Andrew Nardi,0,2,2,0,0,1,2,2
746089,20240328,MIA,669622,Anthony Bender,0,3,1,1,0,0,0,0
746089,20240328,MIA,664350,Sixto Sánchez,0,3,0,0,0,1,1,1
746089,20240328,MIA,656945,Tanner Scott,0,3,2,2,0,0,0,0
746089,20240328,MIA,686539,Declan Cronin,0,9,3,2,0,0,1,0
746089,20240328,PIT,656605,Mitch Keller,1,17,3,2,1,0,5,4
746089,20240328,PIT,676596,Josh Fleming,0,1,0,0,0,0,0,0
746089,20240328,PIT,676702,Hunter Stratton,0,2,1,0,1,0,0,0
746089,20240328,PIT,621366,Ryan Borucki,0,4,2,0,0,0,0,0
746089,20240328,PIT,547973,Aroldis Chapman,0,3,1,0,0,0,0,0
746089,20240328,PIT,682847,Luis Ortiz,0,6,0,2,0,0,0,0
746089,20240328,PIT,669796,Jose E. Hernandez,0,3,0,0,0,0,0,0
746418,20240328,HOU,664285,Framber Valdez,1,14,5,6,1,0,3,3
746418,20240328,HOU,661527,Seth Martinez,0,1,0,1,0,0,0,0
746418,20240328,HOU,606160,Rafael Montero,0,3,0,0,0,1,1,1
746418,20240328,HOU,519151,Ryan Pressly,0,3,1,1,0,0,1,1
746418,20240328,HOU,605463,Tayler Scott,0,3,1,1,0,0,0,0
746418,20240328,HOU,623352,Josh Hader,0,3,3,0,0,0,0,0
746418,20240328,NYA,641482,Nestor Cortes,1,15,5,2,0,1,4,4
746418,20240328,NYA,642528,Jonathan Loáisiga,0,6,1,0,0,0,0,0
746418,20240328,NYA,641656,Ian Hamilton,0,3,1,0,0,0,0,0
746418,20240328,NYA,605280,Clay Holmes,0,3,0,0,0,0,0,0
745039,20240328,TEX,543135,Nathan Eovaldi,1,18,3,1,1,0,2,2
745039,20240328,TEX,622250,Josh Sborz,0,3,2,0,0,0,0,0
745039,20240328,TEX,489446,Kirby Yates,0,3,1,0,0,0,0,0
745039,20240328,TEX,600917,José Leclerc,0,3,1,2,0,0,1,1
745039,20240328,TEX,502085,David Robertson,0,3,1,2,0,0,0,0
745039,20240328,CHN,657006,Justin Steele,1,14,6,1,0,0,1,1
745039,20240328,CHN,657240,Julian Merryweather,0,1,0,1,0,0,0,0
745039,20240328,CHN,622075,Yency Almonte,0,1,0,0,0,1,1,1
745039,20240328,CHN,643410,Mark Leiter Jr.,0,5,3,0,0,0,0,0
745039,20240328,CHN,593576,Héctor Neris,0,3,1,1,0,0,0,0
745039,20240328,CHN,640470,Adbert Alzolay,0,3,0,1,0,1,1,1
745039,20240328,CHN,592767,Drew Smyly,0,2,0,2,0,0,1,0
745687,20240328,ATH,622072,Alex Wood,1,10,3,1,1,0,6,6
745687,20240328,ATH,666205,Kyle Muller,0,8,2,0,1,0,0,0
745687,20240328,ATH,519008,T.J. McFarland,0,3,1,0,0,0,0,0
745687,20240328,ATH,547184,Michael Kelly,0,6,1,2,1,0,2,2
745687,20240328,CLE,669456,Shane Bieber,1,18,11,1,0,0,0,0
745687,20240328,CLE,669212,Eli Morgan,0,3,0,0,0,0,0,0
745687,20240328,CLE,682120,Tim Herrin,0,3,0,0,0,0,0,0
745687,20240328,CLE,680704,Nick Sandlin,0,3,2,0,0,0,0,0
747224,20240328,ARI,668678,Zac Gallen,1,15,3,2,1,0,1,1
747224,20240328,ARI,543518,Scott McGough,0,3,1,1,0,0,0,0
747224,20240328,ARI,612434,Miguel Castro,0,3,1,0,0,0,0,0
747224,20240328,ARI,669459,Kyle Nelson,0,3,1,0,0,0,0,0
747224,20240328,ARI,666818,Luis Frías,0,3,0,0,0,0,0,0
747224,20240328,COL,607536,Kyle Freeland,1,7,2,1,0,1,10,10
747224,20240328,COL,683627,Anthony Molina,0,1,0,1,0,0,6,6
747224,20240328,COL,656222,Jalen Beeks,0,7,2,0,0,0,0,0
747224,20240328,COL,680767,Victor Vodnik,0,6,2,1,0,0,0,0
747224,20240328,COL,683232,Nick Mears,0,3,3,0,0,0,0,0
745283,20240328,SEA,622491,Luis Castillo,1,15,5,2,0,1,4,4
745283,20240328,SEA,642048,Tayler Saucedo,0,3,1,0,0,0,1,1
745283,20240328,SEA,675989,Cody Bolton,0,6,0,0,0,1,1,1
745283,20240328,SEA,608723,Austin Voth,0,3,1,0,0,0,0,0
745283,20240328,BOS,678394,Brayan Bello,1,15,2,0,1,1,2,2
745283,20240328,BOS,663462,Isaiah Campbell,0,3,1,0,0,0,1,1
745283,20240328,BOS,570257,Joely Rodríguez,0,3,2,0,0,1,1,1
745283,20240328,BOS,455119,Chris Martin,0,3,2,0,0,0,0,0
745283,20240328,BOS,445276,Kenley Jansen,0,3,2,1,0,0,0,0
745848,20240329,NYN,500779,Jose Quintana,1,14,4,2,0,1,2,2
745848,20240329,NYN,622098,Drew Smith,0,4,1,0,0,0,0,0
745848,20240329,NYN,605347,Jorge López,0,3,0,0,0,0,1,1
745848,20240329,NYN,543859,Michael Tonkin,0,6,2,1,0,0,0,0
745848,20240329,MIL,642547,Freddy Peralta,1,18,8,1,0,1,1,1
745848,20240329,MIL,656730,Trevor Megill,0,3,0,1,0,0,0,0
745848,20240329,MIL,606303,Joel Payamps,0,3,2,0,0,0,0,0
745848,20240329,MIL,682842,Abner Uribe,0,3,0,0,0,0,0,0
745604,20240329,PHI,554430,Zack Wheeler,1,18,5,0,0,0,0,0
745604,20240329,PHI,621381,Matt Strahm,0,1,1,0,0,0,2,2
745604,20240329,PHI,656546,Jeff Hoffman,0,2,1,1,0,0,0,0
745604,20240329,PHI,621237,José Alvarado,0,2,1,2,0,0,5,5
745604,20240329,PHI,641401,Connor Brogdon,0,1,1,2,0,0,2,2
745604,20240329,PHI,628708,Yunior Marte,0,3,1,0,0,0,0,0
745604,20240329,ATL,675911,Spencer Strider,1,15,8,2,0,1,2,2
745604,20240329,ATL,641729,Joe Jiménez,0,3,1,0,0,0,0,0
745604,20240329,ATL,572955,Pierce Johnson,0,3,2,0,0,0,0,0
745604,20240329,ATL,621345,A.J. Minter,0,3,2,0,0,0,0,0
745604,20240329,ATL,607481,Aaron Bummer,0,3,2,1,0,0,1,1
745848,20240329,NYN,500779,Jose Quintana,1,14,4,2,0,1,2,2
745848,20240329,NYN,622098,Drew Smith,0,4,1,0,0,0,0,0
745848,20240329,NYN,605347,Jorge López,0,3,0,0,0,0,1,1
745848,20240329,NYN,543859,Michael Tonkin,0,6,2,1,0,0,0,0
745848,20240329,MIL,642547,Freddy Peralta,1,18,8,1,0,1,1,1
745848,20240329,MIL,656730,Trevor Megill,0,3,0,1,0,0,0,0
745848,20240329,MIL,606303,Joel Payamps,0,3,2,0,0,0,0,0
745848,20240329,MIL,682842,Abner Uribe,0,3,0,0,0,0,0,0
745604,20240329,PHI,554430,Zack Wheeler,1,18,5,0,0,0,0,0
745604,20240329,PHI,621381,Matt Strahm,0,1,1,0,0,0,2,2
745604,20240329,PHI,656546,Jeff Hoffman,0,2,1,1,0,0,0,0
745604,20240329,PHI,621237,José Alvarado,0,2,1,2,0,0,5,5
745604,20240329,PHI,641401,Connor Brogdon,0,1,1,2,0,0,2,2
745604,20240329,PHI,628708,Yunior Marte,0,3,1,0,0,0,0,0
745604,20240329,ATL,675911,Spencer Strider,1,15,8,2,0,1,2,2
745604,20240329,ATL,641729,Joe Jiménez,0,3,1,0,0,0,0,0
745604,20240329,ATL,572955,Pierce Johnson,0,3,2,0,0,0,0,0
745604,20240329,ATL,621345,A.J. Minter,0,3,2,0,0,0,0,0
745604,20240329,ATL,607481,Aaron Bummer,0,3,2,1,0,0,1,1
745117,20240329,TBA,650644,Aaron Civale,1,18,6,1,0,1,1,1
745117,20240329,TBA,606965,Chris Devenski,0,6,0,0,0,0,0,0
745117,20240329,TBA,592094,Jason Adam,0,3,1,0,0,0,1,1
745117,20240329,TOR,605135,Chris Bassitt,1,15,6,2,1,1,5,4
745117,20240329,TOR,641149,Wes Parsons,0,9,1,1,0,0,3,3
746091,20240329,MIA,640462,A.J. Puk,1,6,1,6,0,0,4,4
746091,20240329,MIA,663773,Bryan Hoeing,0,12,4,1,0,0,1,1
746091,20240329,MIA,572143,Burch Smith,0,6,2,0,0,0,2,2
746091,20240329,MIA,666277,George Soriano,0,3,2,0,0,0,0,0
746091,20240329,PIT,527048,Martín Pérez,1,13,2,3,0,0,1,1
746091,20240329,PIT,656924,Ryder Ryan,0,5,2,0,0,0,0,0
746091,20240329,PIT,676596,Josh Fleming,0,9,3,1,0,0,1,1
746412,20240329,HOU,664299,Cristian Javier,1,18,6,1,0,0,0,0
746412,20240329,HOU,605463,Tayler Scott,0,1,0,2,1,0,2,2
746412,20240329,HOU,606160,Rafael Montero,0,2,0,1,0,0,0,0
746412,20240329,HOU,656786,Parker Mushinski,0,1,1,1,0,0,4,2
746412,20240329,HOU,656232,Brandon Bielak,0,5,2,0,0,1,1,1
746412,20240329,NYA,607074,Carlos Rodón,1,13,4,3,0,0,1,1
746412,20240329,NYA,595897,Nick Burdi,0,2,1,1,0,0,0,0
746412,20240329,NYA,596133,Luke Weaver,0,4,0,0,0,0,0,0
746412,20240329,NYA,624647,Victor González,0,1,0,1,0,0,0,0
746412,20240329,NYA,657571,Caleb Ferguson,0,4,1,1,0,0,0,0
746412,20240329,NYA,690925,Clayton Beeter,0,3,0,0,0,0,0,0
747223,20240329,ARI,518876,Merrill Kelly,1,20,8,0,0,1,1,1
747223,20240329,ARI,573009,Joe Mantiply,0,3,2,0,0,0,2,2
747223,20240329,ARI,657044,Ryan Thompson,0,1,1,0,0,0,0,0
747223,20240329,ARI,656464,Kevin Ginkel,0,3,0,0,0,0,0,0
747223,20240329,COL,615698,Cal Quantrill,1,15,1,1,0,2,5,5
747223,20240329,COL,656234,Jake Bird,0,6,0,1,0,1,2,2
747223,20240329,COL,641755,Tyler Kinley,0,3,1,2,0,0,0,0
745682,20240329,ATH,548389,Ross Stripling,1,15,6,2,0,1,5,4
745682,20240329,ATH,687765,Mitch Spence,0,9,3,3,0,0,1,1
745682,20240329,ATH,613534,Austin Adams,0,3,0,1,0,0,0,0
745682,20240329,CLE,671106,Logan Allen,1,15,3,0,0,2,3,3
745682,20240329,CLE,669212,Eli Morgan,0,3,0,0,0,0,0,0
745682,20240329,CLE,683769,Hunter Gaddis,0,3,1,0,0,0,0,0
745682,20240329,CLE,605130,Scott Barlow,0,3,1,2,0,0,1,1
745682,20240329,CLE,661403,Emmanuel Clase,0,3,0,0,0,0,0,0
745276,20240329,SEA,669923,George Kirby,1,20,8,2,0,0,0,0
745276,20240329,SEA,642100,Gabe Speier,0,1,1,0,0,0,0,0
745276,20240329,SEA,592773,Ryne Stanek,0,2,1,1,0,0,0,0
745276,20240329,SEA,662253,Andrés Muñoz,0,4,3,0,0,0,0,0
745276,20240329,BOS,601713,Nick Pivetta,1,18,10,0,0,1,1,1
745276,20240329,BOS,670174,Josh Winckowski,0,6,4,2,0,0,0,0
745435,20240329,SDN,605397,Joe Musgrove,1,17,3,1,2,1,4,4
745435,20240329,SDN,663568,Stephen Kolek,0,3,1,0,0,0,2,2
745435,20240329,SDN,660853,Enyel De Los Santos,0,4,1,0,0,0,0,0
745435,20240329,SDN,658648,Pedro Avila,0,3,2,1,0,1,2,2
745435,20240329,SFN,690986,Kyle Harrison,1,18,5,0,0,2,2,2
745435,20240329,SFN,694738,Landen Roupp,0,3,0,0,0,0,0,0
745435,20240329,SFN,643511,Tyler Rogers,0,3,0,0,1,1,1,1
745435,20240329,SFN,676254,Ryan Walker,0,3,0,0,0,0,0,0
746167,20240329,LAN,676272,Bobby Miller,1,18,11,1,0,0,0,0
746167,20240329,LAN,675627,Michael Grove,0,3,1,1,1,0,3,3
746167,20240329,LAN,518489,Ryan Brasier,0,3,1,0,0,0,0,0
746167,20240329,LAN,623465,Evan Phillips,0,3,1,0,0,0,0,0
746167,20240329,SLN,668868,Zack Thompson,1,16,4,2,0,3,5,5
746167,20240329,SLN,606149,Giovanny Gallegos,0,5,4,0,0,1,1,1
746167,20240329,SLN,668941,JoJo Romero,0,3,1,0,0,0,0,0
745850,20240330,NYN,622663,Luis Severino,1,15,6,0,0,1,6,3
745850,20240330,NYN,518617,Jake Diekman,0,3,1,0,0,0,0,0
745850,20240330,NYN,670990,Yohan Ramírez,0,1,1,0,0,0,0,0
745850,20240330,NYN,605347,Jorge López,0,2,1,1,0,0,0,0
745850,20240330,NYN,493603,Adam Ottavino,0,3,2,0,0,0,1,1
745850,20240330,NYN,621242,Edwin Díaz,0,3,1,0,0,0,0,0
745850,20240330,MIL,669084,DL Hall,1,12,1,2,1,1,2,2
745850,20240330,MIL,665625,Elvis Peguero,0,6,0,0,0,0,0,0
745850,20240330,MIL,656730,Trevor Megill,0,3,3,0,0,0,0,0
745850,20240330,MIL,669060,Bryse Wilson,0,1,0,0,0,0,2,2
745850,20240330,MIL,571948,Hoby Milner,0,2,0,0,0,1,1,1
745850,20240330,MIL,682842,Abner Uribe,0,3,2,0,0,1,1,1
746818,20240330,CHA,647336,Michael Soroka,1,15,0,3,0,1,4,4
746818,20240330,CHA,673929,Jordan Leasure,0,3,1,1,0,0,0,0
746818,20240330,CHA,608678,Dominic Leone,0,1,0,0,0,1,2,2
746818,20240330,CHA,657612,Tim Hill,0,2,0,0,0,0,0,0
746818,20240330,CHA,621051,Steven Wilson,0,3,0,0,0,0,0,0
746818,20240330,CHA,605154,John Brebbia,0,3,0,0,0,0,0,0
746818,20240330,CHA,665620,Deivi García,0,3,2,0,0,0,1,0
746818,20240330,DET,628317,Kenta Maeda,1,10,2,1,0,3,6,6
746818,20240330,DET,656412,Alex Faedo,0,5,1,0,0,0,0,0
746818,20240330,DET,663947,Tyler Holton,0,3,1,0,0,0,0,0
746818,20240330,DET,656638,Alex Lange,0,1,1,3,0,0,0,0
746818,20240330,DET,676684,Will Vest,0,5,1,0,0,0,0,0
746818,20240330,DET,571946,Shelby Miller,0,6,1,0,0,0,0,0
747063,20240330,BAL,680570,Grayson Rodriguez,1,18,9,1,0,1,1,1
747063,20240330,BAL,543056,Danny Coulombe,0,3,1,0,0,0,0,0
747063,20240330,BAL,657097,Jacob Webb,0,3,1,0,0,0,0,0
747063,20240330,BAL,672335,Cionel Pérez,0,0,0,0,0,0,2,2
747063,20240330,BAL,657508,Mike Baumann,0,3,2,0,0,0,1,1
747063,20240330,ANA,656288,Griffin Canning,1,15,2,1,0,1,5,5
747063,20240330,ANA,472610,Luis García,0,0,0,0,0,0,4,3
747063,20240330,ANA,670871,Guillo Zuñiga,0,3,0,1,0,1,3,3
747063,20240330,ANA,542585,José Cisnero,0,3,3,0,0,0,0,0
747063,20240330,ANA,643256,Adam Cimber,0,3,1,0,0,0,1,1
745599,20240330,PHI,605400,Aaron Nola,1,13,3,1,0,2,7,6
745599,20240330,PHI,656814,Luis Ortiz,0,2,0,0,0,0,2,2
745599,20240330,PHI,622554,Seranthony Domínguez,0,3,2,0,0,1,2,2
745599,20240330,PHI,628708,Yunior Marte,0,3,0,1,0,0,0,0
745599,20240330,PHI,642397,Gregory Soto,0,3,0,0,0,0,0,0
745599,20240330,PHI,641401,Connor Brogdon,0,3,0,1,0,1,1,1
745599,20240330,ATL,608331,Max Fried,1,2,1,3,0,0,3,3
745599,20240330,ATL,445926,Jesse Chavez,0,9,1,0,0,1,1,1
745599,20240330,ATL,554431,Tyler Matzek,0,4,0,0,0,0,0,0
745599,20240330,ATL,572955,Pierce Johnson,0,3,0,1,0,0,0,0
745599,20240330,ATL,669276,Dylan Lee,0,6,1,1,0,0,0,0
745599,20240330,ATL,628452,Raisel Iglesias,0,3,1,0,0,0,0,0
745684,20240330,ATH,676664,JP Sears,1,11,1,2,1,0,5,5
745684,20240330,ATH,666204,Dany Jiménez,0,4,0,1,0,0,2,0
745684,20240330,ATH,519008,T.J. McFarland,0,3,1,0,0,0,2,2
745684,20240330,ATH,547184,Michael Kelly,0,3,2,0,0,1,1,1
745684,20240330,ATH,668674,Lucas Erceg,0,3,1,1,1,0,0,0
745684,20240330,ATH,695243,Mason Miller,0,3,1,1,0,0,2,2
745684,20240330,CLE,676440,Tanner Bibee,1,12,4,5,0,0,3,3
745684,20240330,CLE,680704,Nick Sandlin,0,3,2,0,1,0,0,0
745684,20240330,CLE,671922,Cade Smith,0,6,5,1,0,0,0,0
745684,20240330,CLE,595881,Tyler Beede,0,6,3,0,1,0,0,0
746736,20240330,CIN,668881,Hunter Greene,1,14,7,4,0,0,2,2
746736,20240330,CIN,458677,Justin Wilson,0,3,1,0,0,0,0,0
746736,20240330,CIN,518585,Fernando Cruz,0,4,4,0,0,0,1,1
746736,20240330,CIN,608371,Lucas Sims,0,3,1,0,0,1,1,1
746736,20240330,CIN,664747,Alexis Díaz,0,1,1,2,1,0,3,3
746736,20240330,CIN,608718,Brent Suter,0,2,0,0,0,0,0,0
746736,20240330,WAS,571578,Patrick Corbin,1,13,2,1,0,2,4,4
746736,20240330,WAS,571882,Derek Law,0,5,2,0,0,0,0,0
746736,20240330,WAS,607179,Jordan Weems,0,3,2,0,0,0,0,0
746736,20240330,WAS,640451,Hunter Harvey,0,3,1,1,0,0,2,2
746736,20240330,WAS,640448,Kyle Finnegan,0,3,1,1,0,0,0,0
745119,20240330,TBA,641793,Zack Littell,1,18,6,2,0,0,0,0
745119,20240330,TBA,621363,Colin Poche,0,2,1,1,0,0,1,1
745119,20240330,TBA,664208,Phil Maton,0,1,0,0,0,0,0,0
745119,20240330,TBA,592094,Jason Adam,0,3,1,0,0,0,0,0
745119,20240330,TBA,664126,Pete Fairbanks,0,3,2,0,0,0,0,0
745119,20240330,TOR,579328,Yusei Kikuchi,1,13,4,3,0,1,3,3
745119,20240330,TOR,670950,Trevor Richards,0,3,0,0,0,0,0,0
745119,20240330,TOR,554340,Yimi García,0,2,0,0,0,0,0,0
745119,20240330,TOR,650893,Génesis Cabrera,0,3,1,0,0,0,1,1
745119,20240330,TOR,641835,Tim Mayza,0,3,1,1,0,0,1,1
746333,20240330,KCA,607625,Seth Lugo,1,18,4,1,1,0,0,0
746333,20240330,KCA,670167,John Schreiber,0,3,1,0,2,0,0,0
746333,20240330,KCA,663704,James McArthur,0,3,1,0,0,0,1,1
746333,20240330,KCA,519293,Will Smith,0,3,0,2,1,0,4,4
746333,20240330,MIN,657746,Joe Ryan,1,16,5,1,0,0,1,1
746333,20240330,MIN,595345,Steven Okert,0,3,2,1,0,0,0,0
746333,20240330,MIN,660896,Jorge Alcala,0,2,0,0,0,0,0,0
746333,20240330,MIN,643377,Griffin Jax,0,3,1,1,0,0,0,0
746333,20240330,MIN,592779,Brock Stewart,0,3,3,0,0,0,0,0
746087,20240330,MIA,677960,Ryan Weathers,1,12,5,2,1,0,3,3
746087,20240330,MIA,664350,Sixto Sánchez,0,6,0,0,0,0,2,1
746087,20240330,MIA,677053,Andrew Nardi,0,3,0,1,0,0,4,4
746087,20240330,MIA,686539,Declan Cronin,0,3,1,1,0,0,0,0
746087,20240330,MIA,669622,Anthony Bender,0,3,3,0,0,0,0,0
746087,20240330,PIT,683003,Jared Jones,1,17,10,2,0,0,3,3
746087,20240330,PIT,621366,Ryan Borucki,0,2,1,0,0,0,0,0
746087,20240330,PIT,676702,Hunter Stratton,0,2,1,0,0,0,0,0
746087,20240330,PIT,669796,Jose E. Hernandez,0,3,0,0,0,0,0,0
746087,20240330,PIT,670280,David Bednar,0,3,1,0,0,0,0,0
745037,20240330,TEX,674003,Cody Bradford,1,15,6,1,0,1,2,2
745037,20240330,TEX,622250,Josh Sborz,0,3,1,0,0,0,0,0
745037,20240330,TEX,502085,David Robertson,0,3,0,0,0,0,0,0
745037,20240330,TEX,489446,Kirby Yates,0,3,0,0,0,0,0,0
745037,20240330,TEX,656271,Brock Burke,0,3,1,1,0,0,0,0
745037,20240330,CHN,543294,Kyle Hendricks,1,11,2,2,0,2,5,5
745037,20240330,CHN,621016,Jose Cuas,0,4,2,0,0,0,0,0
745037,20240330,CHN,681432,Luke Little,0,3,1,0,0,0,0,0
745037,20240330,CHN,676962,Ben Brown,0,5,1,2,0,1,6,6
745037,20240330,CHN,622075,Yency Almonte,0,1,0,0,0,0,0,0
745436,20240330,SDN,656302,Dylan Cease,1,14,6,2,0,0,3,2
745436,20240330,SDN,666745,Jhony Brito,0,7,2,0,0,0,0,0
745436,20240330,SDN,676680,Tom Cosgrove,0,1,1,1,0,2,6,6
745436,20240330,SDN,660853,Enyel De Los Santos,0,2,0,0,0,0,0,0
745436,20240330,SDN,663568,Stephen Kolek,0,3,1,0,0,0,0,0
745436,20240330,SFN,663855,Jordan Hicks,1,15,6,1,1,0,0,0
745436,20240330,SFN,573124,Taylor Rogers,0,5,3,0,0,0,1,1
745436,20240330,SFN,643511,Tyler Rogers,0,1,0,0,0,0,0,0
745436,20240330,SFN,669062,Erik Miller,0,4,1,3,0,1,3,3
745436,20240330,SFN,666808,Camilo Doval,0,2,0,1,0,1,2,2
746410,20240330,HOU,686613,Hunter Brown,1,12,5,2,0,0,1,0
746410,20240330,HOU,661527,Seth Martinez,0,3,0,0,0,0,0,0
746410,20240330,HOU,656786,Parker Mushinski,0,3,1,0,0,0,0,0
746410,20240330,HOU,650556,Bryan Abreu,0,3,1,2,0,2,3,3
746410,20240330,HOU,519151,Ryan Pressly,0,3,2,0,0,1,1,1
